,estimated_delivery_price,best_bid_amount,best_ask_amount,underlying_index,bid_iv,ask_iv,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,greeks,stats,state,timestamp
0,66223.46,0.0,0.0,BTC-31MAY24,0.0,0.0,66687.85,83.16,0.0,0.0,0.0,0.0,0.963,0.8025,0.781,[],[],0.87219917,BTC-31MAY24-125000-P,0.8756,66223.46,22174534534,"{'rho': -131.56522, 'theta': -8.55178, 'vega': 7.95694, 'gamma': 0.0, 'delta': -0.98556}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713863470845
1,66223.46,104.5,201.0,BTC-31MAY24,70.71,73.07,66687.85,73.02,0.014,0.0155,0.0,2102.0,0.053,0.0005,0.014,"[[0.0155, 201.0], [0.016, 107.0], [0.0165, 27.0], [0.017, 270.0], [0.165, 6.0]]","[[0.014, 104.5], [0.0135, 172.0], [0.0105, 4.0], [0.007, 4.0], [0.005, 3.0]]",0.01411959,BTC-31MAY24-52000-P,0.0155,66223.46,23210818463,"{'rho': -9.4013, 'theta': -41.41054, 'vega': 43.0469, 'gamma': 1e-05, 'delta': -0.12012}","{'volume_usd': 54958.46, 'volume': 55.6, 'price_change': -15.1515, 'low': 0.014, 'high': 0.0165}",open,1713863472027
2,66226.4,3.5,19.0,BTC-27SEP24,73.39,74.42,69207.32,73.91,0.0425,0.044,0.0,408.4,0.1015,0.019,0.0415,"[[0.044, 19.0], [0.045, 8.0], [0.047, 4.0]]","[[0.0425, 3.5], [0.0405, 48.0], [0.0175, 32.0]]",0.04179591,BTC-27SEP24-46000-P,0.0433,66226.4,23210819409,"{'rho': -54.21559, 'theta': -23.65929, 'vega': 100.4856, 'gamma': 1e-05, 'delta': -0.13893}","{'volume_usd': 58760.14, 'volume': 21.0, 'price_change': -2.3529, 'low': 0.0415, 'high': 0.0425}",open,1713863473867
3,66229.53,0.0,1.5,BTC-26APR24,0.0,257.98,66126.97,100.0,0.0,0.0001,0.0,408.6,0.015,0.0001,0.0001,"[[0.0001, 1.5], [0.0002, 75.0], [0.0003, 52.0], [0.0004, 286.0], [0.0005, 4.0]]",[],0.0,BTC-26APR24-34000-P,0.0,66229.53,23210820417,"{'rho': 0.0, 'theta': 0.0, 'vega': 0.0, 'gamma': 0.0, 'delta': 0.0}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713863474925
4,66233.96,27.2,27.2,BTC-31MAY24,55.74,88.38,66699.11,74.82,0.4405,0.4555,0.0,431.5,0.527,0.3875,0.4395,"[[0.4555, 27.2]]","[[0.4405, 27.2]]",0.44594945,BTC-31MAY24-96000-P,0.4476,66233.96,23210799110,"{'rho': -94.67101, 'theta': -32.23923, 'vega': 32.70664, 'gamma': 1e-05, 'delta': -0.91756}","{'volume_usd': 851752.2, 'volume': 29.0, 'price_change': 0.0, 'low': 0.4395, 'high': 0.4395}",open,1713863476923
5,66237.29,0.0,0.0,BTC-28MAR25,0.0,0.0,72792.96,80.17,0.0,0.0,0.0,0.0,0.462,0.2945,0.257,[],[],0.35774748,BTC-28MAR25-62000-C,0.3586,66237.29,22793922895,"{'rho': 247.4702, 'theta': -27.70967, 'vega': 234.813, 'gamma': 1e-05, 'delta': 0.72381}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713863477935
6,66239.0,0.0,0.0,BTC-26APR24,0.0,0.0,66133.97,100.0,0.0,0.0,0.0,20.0,0.652,0.622,0.6065,[],[],0.6368241,BTC-26APR24-24000-C,0.6371,66239.0,22947954899,"{'rho': 2.42557, 'theta': 0.0, 'vega': 0.0, 'gamma': 0.0, 'delta': 1.0}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713863479908
7,66239.0,43.6,3.1,BTC-26APR24,65.06,69.02,66136.23,66.96,0.0065,0.0075,0.0,293.4,0.044,0.0001,0.0065,"[[0.0075, 3.1], [0.0095, 12.0], [0.01, 18.0], [0.0145, 4.0], [0.0175, 10.0]]","[[0.0065, 43.6], [0.0055, 18.0], [0.004, 12.0], [0.0035, 10.0], [0.0025, 1.0]]",0.00821262,BTC-26APR24-63000-P,0.007,66239.0,23210826910,"{'rho': -1.11347, 'theta': -189.62312, 'vega': 16.71186, 'gamma': 7e-05, 'delta': -0.20129}","{'volume_usd': 96935.68, 'volume': 142.7, 'price_change': -45.8333, 'low': 0.0065, 'high': 0.012}",open,1713863481766
8,66244.35,0.0,0.0,SYN.BTC-17MAY24,0.0,0.0,66472.555,77.3,0.0,0.0,0.0,0.0,0.272,0.19,0.242,[],[],0.22806036,BTC-17MAY24-52000-C,0.2272,66244.35,22873865915,"{'rho': 30.55909, 'theta': -45.07022, 'vega': 28.78925, 'gamma': 1e-05, 'delta': 0.90689}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713863482984
9,66244.12,4.0,10.0,BTC-28MAR25,77.19,78.65,72810.56,77.9,0.16,0.1655,0.0,202.4,0.282,0.1005,0.1625,"[[0.1655, 10.0], [0.1665, 12.2], [0.1805, 6.0]]","[[0.16, 4.0], [0.1585, 4.0], [0.156, 24.0], [0.1555, 5.0], [0.155, 5.0]]",0.16251459,BTC-28MAR25-110000-C,0.1627,66244.12,23210828401,"{'rho': 181.29696, 'theta': -31.68, 'vega': 275.69343, 'gamma': 1e-05, 'delta': 0.4308}","{'volume_usd': 127528.91, 'volume': 12.0, 'price_change': 1.8809, 'low': 0.159, 'high': 0.1625}",open,1713863483980
10,66243.88,18.7,10.7,BTC-27DEC24,73.9,75.43,70737.82,74.66,0.1945,0.1995,0.0,149.0,0.301,0.137,0.2005,"[[0.1995, 10.7], [0.2, 5.0], [0.2005, 15.0], [0.201, 10.0], [0.98, 5.0]]","[[0.1945, 18.7], [0.194, 5.0], [0.18, 1.0], [0.165, 5.0], [0.1505, 4.0]]",0.19959794,BTC-27DEC24-80000-C,0.197,66243.88,23210830031,"{'rho': 166.2161, 'theta': -34.81754, 'vega': 231.24743, 'gamma': 1e-05, 'delta': 0.5429}","{'volume_usd': 231986.53, 'volume': 17.4, 'price_change': -0.2488, 'low': 0.2005, 'high': 0.2015}",open,1713863485999
11,66244.16,10.0,29.2,BTC-27DEC24,0.0,118.85,70737.64,100.0,0.8575,0.8615,0.0,41.1,0.874,0.8445,0.859,"[[0.8615, 29.2]]","[[0.8575, 10.0]]",0.85909074,BTC-27DEC24-10000-C,0.8595,66244.16,23210830230,"{'rho': 66.23975, 'theta': -0.96834, 'vega': 4.802, 'gamma': 0.0, 'delta': 0.99733}","{'volume_usd': 235560.13, 'volume': 4.1, 'price_change': 0.0, 'low': 0.859, 'high': 0.859}",open,1713863487003
12,66244.97,0.0,0.0,SYN.BTC-10MAY24,0.0,0.0,66355.8225,100.0,0.0,0.0,0.0,25.0,0.495,0.451,0.4828,[],[],0.47312172,BTC-10MAY24-35000-C,0.4726,66244.97,23182171301,"{'rho': 16.91803, 'theta': -1.74479, 'vega': 0.61727, 'gamma': 0.0, 'delta': 0.99872}","{'volume_usd': 806911.24, 'volume': 25.0, 'price_change': 0.0, 'low': 0.4828, 'high': 0.4828}",open,1713863487965
13,66247.01,18.7,180.0,BTC-31MAY24,66.49,74.49,66702.56,69.95,0.25,0.258,0.0,576.1,0.3305,0.1985,0.245,"[[0.258, 180.0], [0.2595, 19.1]]","[[0.25, 18.7], [0.248, 120.0]]",0.25400759,BTC-31MAY24-82000-P,0.2537,66247.01,23210799126,"{'rho': -72.30485, 'theta': -57.30651, 'vega': 62.17886, 'gamma': 2e-05, 'delta': -0.78889}","{'volume_usd': 398340.65, 'volume': 24.3, 'price_change': 0.0, 'low': 0.245, 'high': 0.245}",open,1713863489979
14,66248.89,1.5,18.7,BTC-27SEP24,73.73,74.87,69219.99,74.36,0.0355,0.037,0.0,770.0,0.0905,0.015,0.035,"[[0.037, 18.7], [0.0375, 12.0], [0.038, 11.0]]","[[0.0355, 1.5], [0.0345, 10.0], [0.034, 8.0], [0.013, 32.0], [0.005, 9.8]]",0.0352398,BTC-27SEP24-44000-P,0.0363,66248.89,23210834887,"{'rho': -46.64739, 'theta': -21.55997, 'vega': 91.01052, 'gamma': 1e-05, 'delta': -0.1204}","{'volume_usd': 136573.43, 'volume': 57.6, 'price_change': 0.0, 'low': 0.0345, 'high': 0.0365}",open,1713863491162
15,66250.63,62.0,19.1,BTC-26APR24,141.64,151.69,66136.6,100.0,0.0001,0.0002,0.0,1387.6,0.015,0.0001,0.0001,"[[0.0002, 19.1], [0.048, 3.0]]","[[0.0001, 62.0]]",7.8e-07,BTC-26APR24-95000-C,0.0,66250.63,23210835715,"{'rho': 0.00018, 'theta': -0.04491, 'vega': 0.00852, 'gamma': 0.0, 'delta': 3e-05}","{'volume_usd': 19.96, 'volume': 3.0, 'price_change': 0.0, 'low': 0.0001, 'high': 0.0001}",open,1713863492122
16,66248.17,5.0,18.8,BTC-26APR24,149.42,156.59,66132.5,100.0,0.0002,0.0003,0.0,513.2,0.015,0.0001,0.0003,"[[0.0003, 18.8], [0.0095, 10.0], [0.195, 1.0]]","[[0.0002, 5.0], [0.0001, 307.0]]",1.55e-06,BTC-26APR24-47000-P,0.0,66248.17,23210500090,"{'rho': -0.00034, 'theta': -0.08673, 'vega': 0.01487, 'gamma': 0.0, 'delta': -6e-05}","{'volume_usd': 0.0, 'volume': 0.0, 'price_change': None, 'low': None, 'high': None}",open,1713863494060
